Canonical SMILES,Molecular Weight,LogP,Labute ASA,TPSA,Num H Donors,Num H Acceptors,Num Rotatable Bonds,Num Rings,Tanimoto_to_PFOS,Tanimoto_to_PFOA,Docking Score
O=S(=O)([O-])C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[K+],454.201,0.1634999999999999,170.38066777276373,66.43,0.0,4.0,6.0,0.0,0.3548387096774194,0.2424242424242424,
C[N+](C)(C)CCCNC(=O)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],348.68999999999994,-0.9641999999999988,123.01676057088258,29.1,1.0,1.0,6.0,0.0,0.2,0.2702702702702703,
CCCC[NH+](CCCC)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.O=[N+]([O-])[O-],888.3940000000005,9.8084,287.40434622146955,70.64,1.0,3.0,20.0,0.0,0.2195121951219512,0.225,
O=C([O-])C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F.[NH4+],347.0799999999999,2.1476,106.58990247769444,85.86,1.0,3.0,4.0,0.0,0.2424242424242424,0.2903225806451613,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C[CH-]I.[O-]CCN(CC[O-])CC[O-].[Si+4],547.2280000000003,0.4299900000000001,167.42715398801175,72.42,0.0,4.0,10.0,0.0,0.1842105263157894,0.1891891891891892,
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl.[NH4+],447.55,3.7559,137.00611391264115,76.63,1.0,2.0,7.0,0.0,0.2258064516129032,0.3703703703703703,
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[NH4+],631.1230000000002,6.027800000000001,189.652434769682,76.63,1.0,2.0,10.0,0.0,0.3703703703703703,0.5652173913043478,
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F.[NH4+],563.126,5.0953,170.7908864465067,76.63,1.0,2.0,10.0,0.0,0.2058823529411764,0.3333333333333333,
Cl.NCCc1cc(OC(F)(F)C(F)F)cc(OC(F)(F)C(F)F)c1,389.67,4.083000000000002,136.66541343786236,44.48,1.0,3.0,8.0,1.0,0.0697674418604651,0.0714285714285714,
CCCN(CC(=O)[O-])S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[K+],537.3349999999999,-0.5215999999999996,206.93956252005748,77.51,0.0,4.0,10.0,0.0,0.358974358974359,0.2682926829268293,
O=P([O-])(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[NH4+],1207.2530000000008,14.204399999999993,362.7920918314848,95.09,1.0,4.0,24.0,0.0,0.25,0.2571428571428571,
O=P([O-])(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F.[NH4+],1507.2950000000012,18.01620000000001,450.96816935297926,95.09,1.0,4.0,28.0,0.0,0.1794871794871795,0.1842105263157894,
O=C(O)C(F)(F)C(F)(F)F.c1ccc(N2CCNCC2)cc1,326.2650000000001,2.3648,123.0791266409556,52.57,2.0,3.0,2.0,2.0,0.1363636363636363,0.2894736842105263,
